t,x_planet,y_planet,x_sputnik,y_sputnik,vx_planet,vy_planet,vx_sputnik,vy_sputnik,energy
0.000000000000000e+00,7.800000000000000e+11,0.000000000000000e+00,7.801670000000000e+11,0.000000000000000e+00,0.000000000000000e+00,1.300000000000000e+04,0.000000000000000e+00,1.370000000000000e+04,-1.644388462514676e+35
3.747519122492979e+04,7.799998991606080e+11,4.871795482688591e+08,7.780639248415422e+11,4.305067619575877e+08,-6.100884801647722e+00,1.300010904514646e+04,-8.376898527417150e+04,9.282052245121289e+03,-1.642368566229878e+35
7.495038244985958e+04,7.799995162412128e+11,9.743609822110822e+08,7.749372499402030e+11,7.787590240973973e+08,-1.433045000882868e+01,1.300010092581676e+04,-8.327758109310966e+04,9.298710298870472e+03,-1.642369226678221e+35
1.124255736747894e+05,7.799988251759750e+11,1.461542023471446e+09,7.718187550318113e+11,1.127328421560144e+09,-2.255027999001924e+01,1.300008798018069e+04,-8.317128321071749e+04,9.303255082355998e+03,-1.642369236744016e+35
1.499007648997192e+05,7.799978261075759e+11,1.948722484808230e+09,7.687028038531917e+11,1.476013353368994e+09,-3.076849814159630e+01,1.300006996381676e+04,-8.312841748641792e+04,9.305361822146586e+03,-1.642369237670463e+35
1.873759561246489e+05,7.799965190721641e+11,2.435902175295833e+09,7.655879816824589e+11,1.824758047985171e+09,-3.898614169844077e+01,1.300004683784095e+04,-8.310780368482598e+04,9.306569955888370e+03,-1.642369237841093e+35
2.248511473495787e+05,7.799949040847471e+11,2.923080903192133e+09,7.624737152224979e+11,2.173539066083131e+09,-4.720350657485358e+01,1.300001859045728e+04,-8.309760552362389e+04,9.307346755399431e+03,-1.642369237886914e+35
2.623263385745086e+05,7.799929811533060e+11,3.410258476469647e+09,7.593597139223385e+11,2.522344278354437e+09,-5.542070800402551e+01,1.299998521687626e+04,-8.309313869501743e+04,9.307882221637901e+03,-1.642369237902533e+35
2.998015297994383e+05,7.799907502828519e+11,3.897434702975128e+09,7.562458094089352e+11,2.871166550546891e+09,-6.363779911468701e+01,1.299994671479154e+04,-8.309217720707152e+04,9.308268133432277e+03,-1.642369237908811e+35
3.372767210243681e+05,7.799882114769583e+11,4.384609390491407e+09,7.531318948243558e+11,3.220001298043005e+09,-7.185480694588682e+01,1.299990308296075e+04,-8.309352779909215e+04,9.308554223439094e+03,-1.642369237911659e+35
3.747519122492978e+05,7.799853647384463e+11,4.871782346765561e+09,7.500178976777990e+11,3.568845373739837e+09,-8.007174600141668e+01,1.299985432066032e+04,-8.309649341267394e+04,9.308769757300397e+03,-1.642369237913075e+35
4.122271034742276e+05,7.799822100697310e+11,5.358953379523269e+09,7.469037661894508e+11,3.917696502188371e+09,-8.828862414853462e+01,1.299980042744484e+04,-8.310063970092854e+04,9.308933059508199e+03,-1.642369237913833e+35
4.497022946991574e+05,7.799787474730092e+11,5.846122296476782e+09,7.437894618027428e+11,4.266552966637776e+09,-9.650544547203982e+01,1.299974140302934e+04,-8.310568205504723e+04,9.309056171465963e+03,-1.642369237914263e+35
4.871774859240871e+05,7.799749769503710e+11,6.333288905329659e+09,7.406749547967166e+11,4.615413424394622e+09,-1.047222117720116e+02,1.299967724722709e+04,-8.311142631916431e+04,9.309147315994731e+03,-1.642369237914519e+35
5.246526771490169e+05,7.799708985038683e+11,6.820453013779723e+09,7.375602215752462e+11,4.964276792105070e+09,-1.129389234020611e+02,1.299960795991448e+04,-8.311773560994181e+04,9.309212285694166e+03,-1.642369237914679e+35
5.621278683739466e+05,7.799665121355586e+11,7.307614429521012e+09,7.344452429182855e+11,5.313142171392749e+09,-1.211555797637339e+02,1.299953354101024e+04,-8.312451074681990e+04,9.309255266171938e+03,-1.642369237914781e+35
5.996030595988764e+05,7.799618178475348e+11,7.794772960245100e+09,7.313300028123586e+11,5.662008798914786e+09,-1.293721796110967e+02,1.299945399046255e+04,-8.313167819587899e+04,9.309279345450785e+03,-1.642369237914850e+35
6.370782508238062e+05,7.799568156419454e+11,8.281928413642036e+09,7.282144876442084e+11,6.010876011789546e+09,-1.375887212454188e+02,1.299936930824081e+04,-8.313918236406568e+04,9.309286840771447e+03,-1.642369237914896e+35
6.745534420487359e+05,7.799515055210090e+11,8.769080597401033e+09,7.250986856300787e+11,6.359743223032747e+09,-1.458052026435941e+02,1.299927949433013e+04,-8.314698051622929e+04,9.309279514839520e+03,-1.642369237914929e+35
7.120286332736657e+05,7.799458874870247e+11,9.256229319210981e+09,7.219825864024766e+11,6.708609903701876e+09,-1.540216215452022e+02,1.299918454872767e+04,-8.315503932937841e+04,9.309258722809029e+03,-1.642369237914951e+35
7.495038244985954e+05,7.799399615423796e+11,9.743374386760845e+09,7.188661807049208e+11,7.057475569651958e+09,-1.622379755129579e+02,1.299908447144000e+04,-8.316333250028752e+04,9.309225514561698e+03,-1.642369237914967e+35
7.869790157235252e+05,7.799337276895552e+11,1.023051560773998e+10,7.157494601624326e+11,7.406339771532331e+09,-1.704542619755806e+02,1.299897926248132e+04,-8.317183904902398e+04,9.309180707368247e+03,-1.642369237914981e+35
8.244542069484550e+05,7.799271859311310e+11,1.071765278983841e+10,7.126324171062225e+11,7.755202087106418e+09,-1.786704782587725e+02,1.299886892187206e+04,-8.318054209317444e+04,9.309124938466663e+03,-1.642369237914989e+35
8.619293981733847e+05,7.799203362697883e+11,1.120478574074701e+10,7.095150444378568e+11,8.104062115265821e+09,-1.868866216079834e+02,1.299875344963797e+04,-8.318942794717301e+04,9.309058703738132e+03,-1.642369237914996e+35
8.994045893983145e+05,7.799131787083130e+11,1.169191426815771e+10,7.063973355226442e+11,8.452919471299684e+09,-1.951026892053962e+02,1.299863284580932e+04,-8.319848545042844e+04,9.308982386578540e+03,-1.642369237915002e+35
9.368797806232442e+05,7.799057132495974e+11,1.217903817976366e+10,7.032792841049655e+11,8.801773783107117e+09,-2.033186781827749e+02,1.299850711042042e+04,-8.320770545922844e+04,9.308896279738372e+03,-1.642369237915006e+35
9.743549718481740e+05,7.798979398966423e+11,1.266615728325934e+10,7.001608842402977e+11,9.150624688127188e+09,-2.115345856313053e+02,1.299837624350912e+04,-8.321708045769502e+04,9.308800602042022e+03,-1.642369237915010e+35
1.011830163073104e+06,7.798898586525581e+11,1.315327138634075e+10,6.970421302400919e+11,9.499471830821110e+09,-2.197504086092189e+02,1.299824024511653e+04,-8.322660425650148e+04,9.308695511325790e+03,-1.642369237915012e+35
1.049305354298034e+06,7.798814695205658e+11,1.364038029670545e+10,6.939230166266544e+11,9.848314860583776e+09,-2.279661441477615e+02,1.299809911528675e+04,-8.323627175712099e+04,9.308581114547573e+03,-1.642369237915014e+35
1.086780545522963e+06,7.798727725039982e+11,1.412748382205273e+10,6.908035380958929e+11,1.019715342999222e+10,-2.361817892559113e+02,1.299795285406666e+04,-8.324607876558867e+04,9.308457475755931e+03,-1.642369237915015e+35
1.124255736747893e+06,7.798637676063005e+11,1.461458177008366e+10,6.876836894863027e+11,1.054598719332070e+10,-2.443973409241417e+02,1.299780146150573e+04,-8.325602184408360e+04,9.308324622421211e+03,-1.642369237915017e+35
1.161730927972823e+06,7.798544548310311e+11,1.510167394850125e+10,6.845634657529436e+11,1.089481580526829e+10,-2.526127961274480e+02,1.299764493765597e+04,-8.326609819169180e+04,9.308182550500525e+03,-1.642369237915019e+35
1.199206119197753e+06,7.798448341818619e+11,1.558876016501046e+10,6.814428619454435e+11,1.124363891985703e+10,-2.608281518277988e+02,1.299748328257173e+04,-8.327630554789568e+04,9.308031228514643e+03,-1.642369237915020e+35
1.236681310422683e+06,7.798349056625790e+11,1.607584022731836e+10,6.783218731892695e+11,1.159245618946777e+10,-2.690434049761384e+02,1.299731649630966e+04,-8.328664211391872e+04,9.307870600846849e+03,-1.642369237915020e+35
1.274156501647613e+06,7.798246692770826e+11,1.656291394313418e+10,6.752004946696729e+11,1.194126726398747e+10,-2.772585525140313e+02,1.299714457892865e+04,-8.329710648821210e+04,9.307700590423987e+03,-1.642369237915020e+35
1.311631692872543e+06,7.798141250293882e+11,1.704998112016939e+10,6.720787216178312e+11,1.229007179004757e+10,-2.854735913750217e+02,1.299696753048972e+04,-8.330769761322877e+04,9.307521100902944e+03,-1.642369237915021e+35
1.349106884097473e+06,7.798032729236257e+11,1.753704156613779e+10,6.689565492988098e+11,1.263886941033639e+10,-2.936885184857650e+02,1.299678535105603e+04,-8.331841473127079e+04,9.307332018458201e+03,-1.642369237915021e+35
1.386582075322402e+06,7.797921129640409e+11,1.802409508875558e+10,6.658339730010353e+11,1.298765976297234e+10,-3.019033307669740e+02,1.299659804069281e+04,-8.332925734767990e+04,9.307133213245193e+03,-1.642369237915022e+35
1.424057266547332e+06,7.797806451549948e+11,1.851114149574146e+10,6.627109880270323e+11,1.333644248092678e+10,-3.101180251342136e+02,1.299640559946732e+04,-8.334022520000880e+04,9.306924540598346e+03,-1.642369237915022e+35
1.461532457772262e+06,7.797688695009640e+11,1.899818059481667e+10,6.595875896852213e+11,1.368521719148760e+10,-3.183325984985732e+02,1.299620802744882e+04,-8.335131823209325e+04,9.306705842010404e+03,-1.642369237915023e+35
